date,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation
2022-01-01 04:00:00+00:00,7.5225,6.268899,0.0,3.0,4.198285,8.311245
2022-01-01 05:00:00+00:00,7.6725,6.313403,0.0,3.0,5.0911684,11.440978
2022-01-01 06:00:00+00:00,7.7725,6.568472,0.0,3.0,4.198285,8.4042845
2022-01-01 07:00:00+00:00,7.4725,5.877776,0.0,3.0,6.3690495,9.360001
2022-01-01 08:00:00+00:00,7.4225,6.0538406,0.1,51.0,4.73506,8.714677
2022-01-01 09:00:00+00:00,7.6225,5.6684523,0.1,51.0,9.085988,16.73516
2022-01-01 10:00:00+00:00,8.1725,6.6006136,1.1,55.0,7.4128532,16.454008
2022-01-01 11:00:00+00:00,8.3725,7.1813507,1.1,55.0,5.154415,14.404499
2022-01-01 12:00:00+00:00,7.9725,7.0208483,0.5,53.0,2.8116899,2.1897945
2022-01-01 13:00:00+00:00,9.1225,7.8782473,0.7,53.0,6.8777895,11.298495
2022-01-01 14:00:00+00:00,9.6225,8.36664,0.7,53.0,7.9932976,14.241629
2022-01-01 15:00:00+00:00,9.9225,8.388308,0.8,53.0,10.383987,19.107151
2022-01-01 16:00:00+00:00,10.9725,9.592519,0.5,53.0,11.019764,20.696087
2022-01-01 17:00:00+00:00,11.1725,9.630999,0.6,53.0,12.538134,22.545315
2022-01-01 18:00:00+00:00,11.4225,10.399311,0.8,53.0,9.504272,19.319628
2022-01-01 19:00:00+00:00,11.5725,10.621353,0.4,51.0,9.220499,17.49615
2022-01-01 20:00:00+00:00,11.3725,10.619188,0.1,51.0,7.653705,16.87398
2022-01-01 21:00:00+00:00,10.9225,10.333375,0.3,51.0,5.904439,9.693296
2022-01-01 22:00:00+00:00,10.2725,9.944039,1.4,61.0,2.9024127,3.0758414
2022-01-01 23:00:00+00:00,10.0725,9.62561,0.8,53.0,3.319036,4.6938252
2022-01-02 00:00:00+00:00,9.2725,8.421544,1.7,61.0,4.5536795,4.5820518
2022-01-02 01:00:00+00:00,10.5725,9.846314,1.2,55.0,6.130579,10.853866
2022-01-02 02:00:00+00:00,10.5725,9.698554,1.2,55.0,7.24486,14.759999
2022-01-02 03:00:00+00:00,10.7225,9.037915,3.3,63.0,12.904882,23.933907
2022-01-02 04:00:00+00:00,10.4725,7.7291393,9.1,65.0,19.164719,31.667723
2022-01-02 05:00:00+00:00,10.4725,7.509783,7.8,65.0,20.570463,38.1617
2022-01-02 06:00:00+00:00,10.1225,8.326978,0.1,51.0,11.503113,16.595179
2022-01-02 07:00:00+00:00,9.5225,7.622403,0.1,51.0,11.841756,22.91026
2022-01-02 08:00:00+00:00,9.5225,7.6159105,0.5,53.0,11.792404,21.67487
2022-01-02 09:00:00+00:00,9.5725,8.198052,0.1,51.0,8.049845,18.556595
2022-01-02 10:00:00+00:00,9.2225,8.211567,0.2,51.0,5.00128,12.096214
2022-01-02 11:00:00+00:00,8.6225,7.562709,0.0,3.0,4.6102495,9.085988
2022-01-02 12:00:00+00:00,8.9225,8.0264015,0.0,3.0,4.2136917,4.5536795
2022-01-02 13:00:00+00:00,10.1725,9.799601,0.0,3.0,2.8116899,2.5455842
2022-01-02 14:00:00+00:00,10.6225,9.899865,0.0,3.0,5.8048253,8.942214
2022-01-02 15:00:00+00:00,11.6225,10.172285,0.0,3.0,11.808878,15.496736
2022-01-02 16:00:00+00:00,12.1225,10.3004,0.0,3.0,14.982228,21.30093
2022-01-02 17:00:00+00:00,12.9725,11.038831,0.0,3.0,16.595179,22.930048
2022-01-02 18:00:00+00:00,13.6225,11.198116,0.0,3.0,19.852295,28.551426
2022-01-02 19:00:00+00:00,12.6725,10.712755,0.0,3.0,14.689588,21.175837
2022-01-02 20:00:00+00:00,12.0725,9.715971,0.0,3.0,15.349684,22.691423
2022-01-02 21:00:00+00:00,11.0225,7.6567707,0.0,3.0,18.59845,28.510544
2022-01-02 22:00:00+00:00,8.8725,4.5054703,0.0,2.0,21.129883,33.60171
2022-01-02 23:00:00+00:00,7.4725,2.3761702,0.0,3.0,22.42427,33.864883
2022-01-03 00:00:00+00:00,6.1725,0.97726107,0.0,3.0,24.774696,39.254856
2022-01-03 01:00:00+00:00,4.8725,-1.1220698,0.0,2.0,26.562046,39.152378
2022-01-03 02:00:00+00:00,3.4725,-2.4037833,0.0,3.0,22.90743,34.30594
2022-01-03 03:00:00+00:00,2.6725001,-2.9536278,0.0,2.0,19.826164,29.301876
2022-01-03 04:00:00+00:00,2.0225,-3.44729,0.0,1.0,18.218275,27.047956
2022-01-03 05:00:00+00:00,1.6225001,-3.709321,0.0,2.0,16.904673,24.490585
2022-01-03 06:00:00+00:00,1.2725,-4.19257,0.0,2.0,17.533146,24.826952
2022-01-03 07:00:00+00:00,0.8725,-4.4225264,0.0,3.0,16.055353,22.55106
2022-01-03 08:00:00+00:00,0.5725,-4.8572574,0.0,3.0,16.676977,23.157824
2022-01-03 09:00:00+00:00,0.27249998,-5.0520096,0.0,3.0,15.856356,21.647945
2022-01-03 10:00:00+00:00,-0.1275,-5.641328,0.0,3.0,16.58346,22.702845
2022-01-03 11:00:00+00:00,-0.7275,-6.8388877,0.0,3.0,19.694992,27.210379
2022-01-03 12:00:00+00:00,0.42249995,-5.470349,0.0,3.0,19.852295,27.475807
2022-01-03 13:00:00+00:00,-0.2775,-6.675374,0.0,3.0,21.659918,29.869154
2022-01-03 14:00:00+00:00,-0.9275,-7.4097896,0.0,3.0,21.485697,29.834423
2022-01-03 15:00:00+00:00,-1.5775,-8.424056,0.0,71.0,23.576563,33.04361
2022-01-03 16:00:00+00:00,-2.1275,-8.822992,0.0,73.0,22.657131,31.311722
2022-01-03 17:00:00+00:00,-2.5275,-9.356073,0.0,73.0,23.664352,32.305862
2022-01-03 18:00:00+00:00,-2.7775,-10.183962,0.0,73.0,27.698952,37.936893
2022-01-03 19:00:00+00:00,-2.6775,-9.955341,0.0,73.0,27.038372,37.14286
2022-01-03 20:00:00+00:00,-2.4775,-9.282441,0.0,71.0,23.770906,33.151287
2022-01-03 21:00:00+00:00,-2.5774999,-10.472041,0.0,71.0,30.855171,43.810684
2022-01-03 22:00:00+00:00,-2.7775,-9.849461,0.0,3.0,24.609364,35.010807
2022-01-03 23:00:00+00:00,-2.9775,-10.484098,0.0,3.0,27.021591,39.246605
2022-01-04 00:00:00+00:00,-2.6775,-9.887054,0.0,1.0,25.364037,36.17955
2022-01-04 01:00:00+00:00,-2.9775,-9.583698,0.0,0.0,21.288757,31.035257
2022-01-04 02:00:00+00:00,-3.6775,-9.599456,0.0,0.0,16.87398,27.698952
2022-01-04 03:00:00+00:00,-4.2775,-10.190344,0.0,0.0,16.854767,26.867676
2022-01-04 04:00:00+00:00,-4.7775,-10.994707,0.0,0.0,18.455048,28.916763
2022-01-04 05:00:00+00:00,-5.4275,-12.178467,0.0,0.0,21.413193,32.36398
2022-01-04 06:00:00+00:00,-5.8775,-12.3623905,0.0,0.0,19.483284,29.62518
2022-01-04 07:00:00+00:00,-6.1275,-12.167782,0.0,0.0,16.434305,25.43802
2022-01-04 08:00:00+00:00,-6.2775,-12.348129,0.0,0.0,16.676977,25.189713
2022-01-04 09:00:00+00:00,-6.4775,-12.266058,0.0,0.0,14.77755,22.66857
2022-01-04 10:00:00+00:00,-6.5775,-12.229817,0.0,0.0,13.896187,21.175837
2022-01-04 11:00:00+00:00,-6.5775,-12.029062,0.0,0.0,12.682018,19.770523
2022-01-04 12:00:00+00:00,-6.1275,-11.872637,0.0,0.0,14.8257065,20.140705
2022-01-04 13:00:00+00:00,-6.0775,-11.147015,0.0,0.0,10.365251,14.24163
2022-01-04 14:00:00+00:00,-4.9775,-9.584136,0.0,0.0,7.172949,9.449572
2022-01-04 15:00:00+00:00,-3.7775,-8.019594,0.0,0.0,4.6938257,5.692099
2022-01-04 16:00:00+00:00,-2.2775,-6.673682,0.0,0.0,5.771239,7.2805495
2022-01-04 17:00:00+00:00,-0.8775,-5.236343,0.0,0.0,5.634891,6.9527545
2022-01-04 18:00:00+00:00,-0.0775,-4.22101,0.0,0.0,5.3999996,6.3690495
2022-01-04 19:00:00+00:00,0.47249997,-4.595689,0.0,1.0,12.43434,15.137133
2022-01-04 20:00:00+00:00,0.6225,-4.4749465,0.0,1.0,13.049689,16.75064
2022-01-04 21:00:00+00:00,0.3225,-4.213054,0.0,0.0,9.693296,16.58346
2022-01-04 22:00:00+00:00,-0.9775,-5.354842,0.0,0.0,9.360001,21.434364
2022-01-04 23:00:00+00:00,-0.7275,-5.481731,0.0,0.0,12.413477,25.872456
2022-01-05 00:00:00+00:00,-0.6275,-4.8298483,0.0,1.0,9.449572,20.65848
2022-01-05 01:00:00+00:00,-1.1274999,-5.4769983,0.0,1.0,10.383987,22.473343
2022-01-05 02:00:00+00:00,-1.4275,-5.7313027,0.0,1.0,10.144082,21.924562
2022-01-05 03:00:00+00:00,-1.8275,-6.0861516,0.0,0.0,9.983106,20.929594
2022-01-05 04:00:00+00:00,-2.0275,-6.4470544,0.0,0.0,11.27553,22.314194
2022-01-05 05:00:00+00:00,-2.1275,-6.918079,0.0,0.0,13.896187,25.620771
2022-01-05 06:00:00+00:00,-1.9775,-7.4814973,0.0,1.0,17.76081,31.205997
2022-01-05 07:00:00+00:00,-1.8774999,-6.641808,0.0,1.0,13.0447235,26.61323
2022-01-05 08:00:00+00:00,-1.8275,-6.255375,0.0,1.0,11.681987,25.189713
2022-01-05 09:00:00+00:00,-1.5775,-5.521425,0.0,1.0,9.178235,22.065973
2022-01-05 10:00:00+00:00,-1.2774999,-4.9688406,0.0,2.0,8.049845,20.898613
2022-01-05 11:00:00+00:00,-0.9775,-4.5900755,0.0,3.0,8.049845,20.633371
2022-01-05 12:00:00+00:00,0.22249998,-4.0382714,0.0,3.0,12.7279215,24.985659
2022-01-05 13:00:00+00:00,0.9725,-2.596654,0.0,3.0,9.0,20.929594
2022-01-05 14:00:00+00:00,2.0225,-2.0926814,0.1,51.0,13.513193,24.72495
2022-01-05 15:00:00+00:00,2.4225001,-1.6748271,0.1,51.0,13.18308,26.712873
2022-01-05 16:00:00+00:00,3.2725,-0.38305783,0.1,51.0,10.787993,27.534704
2022-01-05 17:00:00+00:00,4.0725,-0.6126671,0.0,3.0,19.483284,34.45672
2022-01-05 18:00:00+00:00,5.2725,0.7255459,0.0,2.0,20.523157,35.97299
2022-01-05 19:00:00+00:00,6.4725,2.6015902,0.0,1.0,17.58481,35.008957
2022-01-05 20:00:00+00:00,6.9725,2.315555,0.0,2.0,22.97522,36.941685
2022-01-05 21:00:00+00:00,6.4725,1.9285507,0.0,3.0,21.437386,36.47388
2022-01-05 22:00:00+00:00,5.3725,1.2069235,0.0,3.0,17.713316,32.957207
2022-01-05 23:00:00+00:00,4.7225,0.87244654,0.0,1.0,15.03835,29.568253
2022-01-06 00:00:00+00:00,4.5225,1.6421752,0.0,0.0,9.290511,22.725668
2022-01-06 01:00:00+00:00,3.2225,0.14693975,0.0,0.0,9.227524,23.18579
2022-01-06 02:00:00+00:00,2.2725,-0.89287376,0.0,1.0,8.766573,23.068108
2022-01-06 03:00:00+00:00,1.6725,-1.5513635,0.0,1.0,8.427383,22.66857
